Codes,Description
C81.37,"  Lymphocyte depleted Hodgkin lymphoma, spleen"
C81.38,"  Lymphocyte depleted Hodgkin lymphoma, lymph nodes of multiple sites"
C81.39,"  Lymphocyte depleted Hodgkin lymphoma, extranodal and solid organ sites"
C81.3A,"  Lymphocyte depleted Hodgkin lymphoma, in remission"
C81.40,"  Lymphocyte-rich Hodgkin lymphoma, unspecified site"
C81.41,"  Lymphocyte-rich Hodgkin lymphoma, lymph nodes of head, face, and neck"
C81.42,"  Lymphocyte-rich Hodgkin lymphoma, intrathoracic lymph nodes"
C81.43,"  Lymphocyte-rich Hodgkin lymphoma, intra-abdominal lymph nodes"
C81.44,"  Lymphocyte-rich Hodgkin lymphoma, lymph nodes of axilla and upper limb"
C81.45,"  Lymphocyte-rich Hodgkin lymphoma, lymph nodes of inguinal region and lower limb"
C81.46,"  Lymphocyte-rich Hodgkin lymphoma, intrapelvic lymph nodes"
C81.47,"  Lymphocyte-rich Hodgkin lymphoma, spleen"
C81.48,"  Lymphocyte-rich Hodgkin lymphoma, lymph nodes of multiple sites"
C81.49,"  Lymphocyte-rich Hodgkin lymphoma, extranodal and solid organ sites"
C81.4A,"  Lymphocyte-rich Hodgkin lymphoma, in remission"
C81.70,"  Other Hodgkin lymphoma, unspecified site"
C81.71,"  Other Hodgkin lymphoma, lymph nodes of head, face, and neck"
C81.72,"  Other Hodgkin lymphoma, intrathoracic lymph nodes"
C81.73,"  Other Hodgkin lymphoma, intra-abdominal lymph nodes"
C81.74,"  Other Hodgkin lymphoma, lymph nodes of axilla and upper limb"
C81.75,"  Other Hodgkin lymphoma, lymph nodes of inguinal region and lower limb"
C81.76,"  Other Hodgkin lymphoma, intrapelvic lymph nodes"
C81.77,"  Other Hodgkin lymphoma, spleen"
C81.78,"  Other Hodgkin lymphoma, lymph nodes of multiple sites"
C81.79,"  Other Hodgkin lymphoma, extranodal and solid organ sites"
C81.7A,"  Other Hodgkin lymphoma, in remission"
C81.90,"  Hodgkin lymphoma, unspecified, unspecified site"
C81.91,"  Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck"
C81.92,"  Hodgkin lymphoma, unspecified, intrathoracic lymph nodes"
C81.93,"  Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes"
C81.94,"  Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb"
C81.95,"  Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb"
C81.96,"  Hodgkin lymphoma, unspecified, intrapelvic lymph nodes"
C81.97,"  Hodgkin lymphoma, unspecified, spleen"
C81.98,"  Hodgkin lymphoma, unspecified, lymph nodes of multiple sites"
C81.99,"  Hodgkin lymphoma, unspecified, extranodal and solid organ sites"
C81.9A,"  Hodgkin lymphoma, unspecified, in remission"
C82.00,"  Follicular lymphoma grade I, unspecified site"
C82.01,"  Follicular lymphoma grade I, lymph nodes of head, face, and neck"
C82.02,"  Follicular lymphoma grade I, intrathoracic lymph nodes"
C82.03,"  Follicular lymphoma grade I, intra-abdominal lymph nodes"
C82.04,"  Follicular lymphoma grade I, lymph nodes of axilla and upper limb"
C82.05,"  Follicular lymphoma grade I, lymph nodes of inguinal region and lower limb"
C82.06,"  Follicular lymphoma grade I, intrapelvic lymph nodes"
C82.07,"  Follicular lymphoma grade I, spleen"
C82.08,"  Follicular lymphoma grade I, lymph nodes of multiple sites"
C82.09,"  Follicular lymphoma grade I, extranodal and solid organ sites"
C82.0A,"  Follicular lymphoma grade I, in remission"
C82.10,"  Follicular lymphoma grade II, unspecified site"
C82.11,"  Follicular lymphoma grade II, lymph nodes of head, face, and neck"
C82.12,"  Follicular lymphoma grade II, intrathoracic lymph nodes"
C82.13,"  Follicular lymphoma grade II, intra-abdominal lymph nodes"
C82.14,"  Follicular lymphoma grade II, lymph nodes of axilla and upper limb"
C82.15,"  Follicular lymphoma grade II, lymph nodes of inguinal region and lower limb"
C82.16,"  Follicular lymphoma grade II, intrapelvic lymph nodes"
C82.17,"  Follicular lymphoma grade II, spleen"
C82.18,"  Follicular lymphoma grade II, lymph nodes of multiple sites"
C82.19,"  Follicular lymphoma grade II, extranodal and solid organ sites"
C82.1A,"  Follicular lymphoma grade II, in remission"
C82.20,"  Follicular lymphoma grade III, unspecified, unspecified site"
C82.21,"  Follicular lymphoma grade III, unspecified, lymph nodes of head, face, and neck"
C82.22,"  Follicular lymphoma grade III, unspecified, intrathoracic lymph nodes"
C82.23,"  Follicular lymphoma grade III, unspecified, intra-abdominal lymph nodes"
C82.24,"  Follicular lymphoma grade III, unspecified, lymph nodes of axilla and upper limb"
C82.25,"  Follicular lymphoma grade III, unspecified, lymph nodes of inguinal region and lower limb"
C82.26,"  Follicular lymphoma grade III, unspecified, intrapelvic lymph nodes"
C82.27,"  Follicular lymphoma grade III, unspecified, spleen"
C82.28,"  Follicular lymphoma grade III, unspecified, lymph nodes of multiple sites"
C82.29,"  Follicular lymphoma grade III, unspecified, extranodal and solid organ sites"
C82.2A,"  Follicular lymphoma grade III, unspecified, in remission"
C82.30,"  Follicular lymphoma grade IIIa, unspecified site"
C82.31,"  Follicular lymphoma grade IIIa, lymph nodes of head, face, and neck"
C82.32,"  Follicular lymphoma grade IIIa, intrathoracic lymph nodes"
C82.33,"  Follicular lymphoma grade IIIa, intra-abdominal lymph nodes"
C82.34,"  Follicular lymphoma grade IIIa, lymph nodes of axilla and upper limb"
C82.35,"  Follicular lymphoma grade IIIa, lymph nodes of inguinal region and lower limb"
C82.36,"  Follicular lymphoma grade IIIa, intrapelvic lymph nodes"
C82.37,"  Follicular lymphoma grade IIIa, spleen"
C82.38,"  Follicular lymphoma grade IIIa, lymph nodes of multiple sites"
C82.39,"  Follicular lymphoma grade IIIa, extranodal and solid organ sites"
C82.3A,"  Follicular lymphoma grade IIIa, in remission"
C82.40,"  Follicular lymphoma grade IIIb, unspecified site"
C82.41,"  Follicular lymphoma grade IIIb, lymph nodes of head, face, and neck"
C82.42,"  Follicular lymphoma grade IIIb, intrathoracic lymph nodes"
C82.43,"  Follicular lymphoma grade IIIb, intra-abdominal lymph nodes"
C82.44,"  Follicular lymphoma grade IIIb, lymph nodes of axilla and upper limb"
C82.45,"  Follicular lymphoma grade IIIb, lymph nodes of inguinal region and lower limb"
C82.46,"  Follicular lymphoma grade IIIb, intrapelvic lymph nodes"
C82.47,"  Follicular lymphoma grade IIIb, spleen"
C82.48,"  Follicular lymphoma grade IIIb, lymph nodes of multiple sites"
C82.49,"  Follicular lymphoma grade IIIb, extranodal and solid organ sites"
C82.4A,"  Follicular lymphoma grade IIIb, in remission"
C82.50,"  Diffuse follicle center lymphoma, unspecified site"
C82.51,"  Diffuse follicle center lymphoma, lymph nodes of head, face, and neck"
C82.52,"  Diffuse follicle center lymphoma, intrathoracic lymph nodes"
C82.53,"  Diffuse follicle center lymphoma, intra-abdominal lymph nodes"
C82.54,"  Diffuse follicle center lymphoma, lymph nodes of axilla and upper limb"
C82.55,"  Diffuse follicle center lymphoma, lymph nodes of inguinal region and lower limb"
C82.56,"  Diffuse follicle center lymphoma, intrapelvic lymph nodes"
C82.57,"  Diffuse follicle center lymphoma, spleen"
C82.58,"  Diffuse follicle center lymphoma, lymph nodes of multiple sites"
C82.59,"  Diffuse follicle center lymphoma, extranodal and solid organ sites"
C82.5A,"  Diffuse follicle center lymphoma, in remission"
C82.60,"  Cutaneous follicle center lymphoma, unspecified site"
C82.61,"  Cutaneous follicle center lymphoma, lymph nodes of head, face, and neck"
C82.62,"  Cutaneous follicle center lymphoma, intrathoracic lymph nodes"
C82.63,"  Cutaneous follicle center lymphoma, intra-abdominal lymph nodes"
C82.64,"  Cutaneous follicle center lymphoma, lymph nodes of axilla and upper limb"
C82.65,"  Cutaneous follicle center lymphoma, lymph nodes of inguinal region and lower limb"
C82.66,"  Cutaneous follicle center lymphoma, intrapelvic lymph nodes"
C82.67,"  Cutaneous follicle center lymphoma, spleen"
C82.68,"  Cutaneous follicle center lymphoma, lymph nodes of multiple sites"
C82.69,"  Cutaneous follicle center lymphoma, extranodal and solid organ sites"
C82.6A,"  Cutaneous follicle center lymphoma, in remission"
C82.80,"  Other types of follicular lymphoma, unspecified site"
C82.81,"  Other types of follicular lymphoma, lymph nodes of head, face, and neck"
C82.82,"  Other types of follicular lymphoma, intrathoracic lymph nodes"
C82.83,"  Other types of follicular lymphoma, intra-abdominal lymph nodes"
C82.84,"  Other types of follicular lymphoma, lymph nodes of axilla and upper limb"
C82.85,"  Other types of follicular lymphoma, lymph nodes of inguinal region and lower limb"
C82.86,"  Other types of follicular lymphoma, intrapelvic lymph nodes"
C82.87,"  Other types of follicular lymphoma, spleen"
C82.88,"  Other types of follicular lymphoma, lymph nodes of multiple sites"
C82.89,"  Other types of follicular lymphoma, extranodal and solid organ sites"
C82.8A,"  Other types of follicular lymphoma, in remission"
C82.90,"  Follicular lymphoma, unspecified, unspecified site"
C82.91,"  Follicular lymphoma, unspecified, lymph nodes of head, face, and neck"
C82.92,"  Follicular lymphoma, unspecified, intrathoracic lymph nodes"
C82.93,"  Follicular lymphoma, unspecified, intra-abdominal lymph nodes"
C82.94,"  Follicular lymphoma, unspecified, lymph nodes of axilla and upper limb"
C82.95,"  Follicular lymphoma, unspecified, lymph nodes of inguinal region and lower limb"
C82.96,"  Follicular lymphoma, unspecified, intrapelvic lymph nodes"
C82.97,"  Follicular lymphoma, unspecified, spleen"
C82.98,"  Follicular lymphoma, unspecified, lymph nodes of multiple sites"
C82.99,"  Follicular lymphoma, unspecified, extranodal and solid organ sites"
C82.9A,"  Follicular lymphoma, unspecified, in remission"
C83.00,"  Small cell B-cell lymphoma, unspecified site"
C83.01,"  Small cell B-cell lymphoma, lymph nodes of head, face, and neck"
C83.02,"  Small cell B-cell lymphoma, intrathoracic lymph nodes"
C83.03,"  Small cell B-cell lymphoma, intra-abdominal lymph nodes"
C83.04,"  Small cell B-cell lymphoma, lymph nodes of axilla and upper limb"
C83.05,"  Small cell B-cell lymphoma, lymph nodes of inguinal region and lower limb"
C83.06,"  Small cell B-cell lymphoma, intrapelvic lymph nodes"
C83.07,"  Small cell B-cell lymphoma, spleen"
C83.08,"  Small cell B-cell lymphoma, lymph nodes of multiple sites"
C83.09,"  Small cell B-cell lymphoma, extranodal and solid organ sites"
C83.0A,"  Small cell B-cell lymphoma, in remission"
C83.10,"  Mantle cell lymphoma, unspecified site"
C83.11,"  Mantle cell lymphoma, lymph nodes of head, face, and neck"
C83.12,"  Mantle cell lymphoma, intrathoracic lymph nodes"
C83.13,"  Mantle cell lymphoma, intra-abdominal lymph nodes"
C83.14,"  Mantle cell lymphoma, lymph nodes of axilla and upper limb"
C83.15,"  Mantle cell lymphoma, lymph nodes of inguinal region and lower limb"
C83.16,"  Mantle cell lymphoma, intrapelvic lymph nodes"
C83.17,"  Mantle cell lymphoma, spleen"
C83.18,"  Mantle cell lymphoma, lymph nodes of multiple sites"
C83.19,"  Mantle cell lymphoma, extranodal and solid organ sites"
C83.1A,"  Mantle cell lymphoma, in remission"
C83.30,"  Diffuse large B-cell lymphoma, unspecified site"
C83.31,"  Diffuse large B-cell lymphoma, lymph nodes of head, face, and neck"
C83.32,"  Diffuse large B-cell lymphoma, intrathoracic lymph nodes"
C83.33,"  Diffuse large B-cell lymphoma, intra-abdominal lymph nodes"
C83.34,"  Diffuse large B-cell lymphoma, lymph nodes of axilla and upper limb"
C83.35,"  Diffuse large B-cell lymphoma, lymph nodes of inguinal region and lower limb"
C83.36,"  Diffuse large B-cell lymphoma, intrapelvic lymph nodes"
C83.37,"  Diffuse large B-cell lymphoma, spleen"
C83.38,"  Diffuse large B-cell lymphoma, lymph nodes of multiple sites"
C83.390, Primary central nervous system lymphoma
C83.398, Diffuse large B-cell lymphoma of other extranodal and solid organ sites
C83.3A,"  Diffuse large B-cell lymphoma, in remission"
C83.50,"  Lymphoblastic (diffuse) lymphoma, unspecified site"
C83.51,"  Lymphoblastic (diffuse) lymphoma, lymph nodes of head, face, and neck"
C83.52,"  Lymphoblastic (diffuse) lymphoma, intrathoracic lymph nodes"
C83.53,"  Lymphoblastic (diffuse) lymphoma, intra-abdominal lymph nodes"
C83.54,"  Lymphoblastic (diffuse) lymphoma, lymph nodes of axilla and upper limb"
C83.55,"  Lymphoblastic (diffuse) lymphoma, lymph nodes of inguinal region and lower limb"
C83.56,"  Lymphoblastic (diffuse) lymphoma, intrapelvic lymph nodes"
C83.57,"  Lymphoblastic (diffuse) lymphoma, spleen"
C83.58,"  Lymphoblastic (diffuse) lymphoma, lymph nodes of multiple sites"
C83.59,"  Lymphoblastic (diffuse) lymphoma, extranodal and solid organ sites"
C83.5A,"  Lymphoblastic (diffuse) lymphoma, in remission"
C83.70,"  Burkitt lymphoma, unspecified site"
C83.71,"  Burkitt lymphoma, lymph nodes of head, face, and neck"
C83.72,"  Burkitt lymphoma, intrathoracic lymph nodes"
C83.73,"  Burkitt lymphoma, intra-abdominal lymph nodes"
C83.74,"  Burkitt lymphoma, lymph nodes of axilla and upper limb"
C83.75,"  Burkitt lymphoma, lymph nodes of inguinal region and lower limb"
C83.76,"  Burkitt lymphoma, intrapelvic lymph nodes"
C83.77,"  Burkitt lymphoma, spleen"
C83.78,"  Burkitt lymphoma, lymph nodes of multiple sites"
C83.79,"  Burkitt lymphoma, extranodal and solid organ sites"
C83.7A,"  Burkitt lymphoma, in remission"
C83.80,"  Other non-follicular lymphoma, unspecified site"
C83.81,"  Other non-follicular lymphoma, lymph nodes of head, face, and neck"
C83.82,"  Other non-follicular lymphoma, intrathoracic lymph nodes"
C83.83,"  Other non-follicular lymphoma, intra-abdominal lymph nodes"
C83.84,"  Other non-follicular lymphoma, lymph nodes of axilla and upper limb"
C83.85,"  Other non-follicular lymphoma, lymph nodes of inguinal region and lower limb"
C83.86,"  Other non-follicular lymphoma, intrapelvic lymph nodes"
C83.87,"  Other non-follicular lymphoma, spleen"
